===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-04-04 17:02:07
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
39.89.117.222:8085        | 有效频道:2 | 平均: 1.11 Mbps
122.114.131.154:4001      | 有效频道:2 | 平均: 0.36 Mbps
61.182.89.14:808          | 有效频道:1 | 平均: 8.79 Mbps
122.114.131.154:4018      | 有效频道:2 | 平均: 0.85 Mbps
183.129.255.66:8480       | 有效频道:2 | 平均: 6.79 Mbps
39.105.190.112:8009       | 有效频道:2 | 平均: 2.21 Mbps
27.129.145.110:4433       | 有效频道:2 | 平均: 6.88 Mbps
144.0.23.4:8085           | 有效频道:2 | 平均: 4.94 Mbps
182.150.31.44:808         | 有效频道:2 | 平均: 1.77 Mbps
106.44.226.206:88         | 有效频道:2 | 平均: 7.95 Mbps
106.46.169.202:9000       | 有效频道:2 | 平均: 0.72 Mbps
59.45.161.118:8877        | 有效频道:2 | 平均: 3.62 Mbps
183.237.71.182:40000      | 有效频道:2 | 平均: 4.54 Mbps
119.36.6.89:1111          | 有效频道:2 | 平均: 0.65 Mbps
39.164.138.145:8899       | 有效频道:2 | 平均: 0.76 Mbps
39.164.138.145:9003       | 有效频道:2 | 平均: 0.36 Mbps
144.0.23.230:8085         | 有效频道:2 | 平均: 1.94 Mbps
221.14.142.118:8000       | 有效频道:2 | 平均: 5.45 Mbps
122.226.23.150:8888       | 有效频道:2 | 平均: 5.81 Mbps
221.14.142.118:9003       | 有效频道:2 | 平均: 4.33 Mbps
1.196.157.174:999         | 有效频道:2 | 平均: 6.74 Mbps
222.142.187.107:9003      | 有效频道:2 | 平均: 9.21 Mbps
119.39.198.159:808        | 有效频道:2 | 平均: 7.12 Mbps
119.39.198.172:808        | 有效频道:2 | 平均:  9.1 Mbps
222.142.185.122:9003      | 有效频道:2 | 平均: 8.71 Mbps
221.13.232.237:1999       | 有效频道:2 | 平均:  9.0 Mbps
210.76.37.214:1234        | 有效频道:2 | 平均: 5.58 Mbps
14.106.99.245:888         | 有效频道:2 | 平均: 3.84 Mbps
222.85.198.92:8000        | 有效频道:2 | 平均: 0.39 Mbps
